datetime,air_temperature
2020-01-01,0.43
2020-01-02,2.44
2020-01-03,4.46
2020-01-04,1.56
2020-01-05,5.99
2020-01-06,2.2
2020-01-07,2.54
2020-01-08,8.54
2020-01-09,11.02
2020-01-10,5.74
2020-01-11,3.39
2020-01-12,5.49
2020-01-13,5.67
2020-01-14,9.77
2020-01-15,2.97
2020-01-16,0.48
2020-01-17,4.51
2020-01-18,-0.65
2020-01-19,-0.98
2020-01-20,-1.61
2020-01-21,-1.49
2020-01-22,-0.7
2020-01-23,2.49
2020-01-24,0.74
2020-01-25,0.48
2020-01-26,1.75
2020-01-27,6.18
2020-01-28,3.62
2020-01-29,1.96
2020-01-30,3.85
2020-01-31,10.38
2020-02-01,7.87
2020-02-02,7.12
2020-02-03,6.36
2020-02-04,2.12
2020-02-05,-0.12
2020-02-06,-1.02
2020-02-07,-2.5
2020-02-08,6.44
2020-02-09,6.86
2020-02-10,4.01
2020-02-11,4.76
2020-02-12,3.05
2020-02-13,2.46
2020-02-14,6.68
2020-02-15,7.93
2020-02-16,8.12
2020-02-17,6.78
2020-02-18,5.1
2020-02-19,4.32
2020-02-20,4.44
2020-02-21,2.33
2020-02-22,6.0
2020-02-23,4.43
2020-02-24,4.08
2020-02-25,3.34
2020-02-26,1.42
2020-02-27,1.78
2020-02-28,-0.51
2020-02-29,4.71
2020-03-01,4.94
2020-03-02,2.84
2020-03-03,1.44
2020-03-04,2.14
2020-03-05,5.9
2020-03-06,5.0
2020-03-07,0.05
2020-03-08,6.96
2020-03-09,5.58
2020-03-10,7.0
2020-03-11,11.95
2020-03-12,6.18
2020-03-13,4.11
2020-03-14,3.5
2020-03-15,7.3
2020-03-16,3.64
2020-03-17,0.79
2020-03-18,2.43
2020-03-19,2.6
2020-03-20,5.07
2020-03-21,4.04
2020-03-22,1.4
2020-03-23,-0.63
2020-03-24,-3.49
2020-03-25,-3.38
2020-03-26,0.77
2020-03-27,0.95
2020-03-28,3.03
2020-03-29,1.34
2020-03-30,-2.33
2020-03-31,0.91
2020-04-01,-2.17
2020-04-02,-1.53
2020-04-03,2.86
2020-04-04,1.38
2020-04-05,1.49
2020-04-06,5.41
2020-04-07,4.11
2020-04-08,6.19
2020-04-09,6.48
2020-04-10,7.9
2020-04-11,4.95
2020-04-12,4.38
2020-04-13,5.02
2020-04-14,1.26
2020-04-15,0.05
2020-04-16,1.73
2020-04-17,8.49
2020-04-18,8.02
2020-04-19,6.89
2020-04-20,7.53
2020-04-21,8.36
2020-04-22,8.81
2020-04-23,4.71
2020-04-24,5.13
2020-04-25,4.59
2020-04-26,2.59
2020-04-27,4.48
2020-04-28,9.3
2020-04-29,9.8
2020-04-30,7.45
2020-05-01,7.71
2020-05-02,4.59
2020-05-03,2.95
2020-05-04,8.91
2020-05-05,6.41
2020-05-06,3.76
2020-05-07,3.86
2020-05-08,6.58
2020-05-09,8.23
2020-05-10,8.15
2020-05-11,3.64
2020-05-12,1.0
2020-05-13,2.34
2020-05-14,2.67
2020-05-15,3.77
2020-05-16,2.35
2020-05-17,2.68
2020-05-18,6.7
2020-05-19,6.27
2020-05-20,9.09
2020-05-21,10.09
2020-05-22,13.38
2020-05-23,10.85
2020-05-24,8.93
2020-05-25,9.62
2020-05-26,7.48
2020-05-27,9.04
2020-05-28,9.74
2020-05-29,8.09
2020-05-30,7.58
2020-05-31,8.77
2020-06-01,8.55
2020-06-02,9.55
2020-06-03,9.74
2020-06-04,10.83
2020-06-05,7.53
2020-06-06,6.64
2020-06-07,9.69
2020-06-08,11.91
2020-06-09,8.93
2020-06-10,8.89
2020-06-11,12.26
2020-06-12,10.62
2020-06-13,12.58
2020-06-14,12.6
2020-06-15,12.54
2020-06-16,12.24
2020-06-17,12.74
2020-06-18,12.68
2020-06-19,10.87
2020-06-20,9.03
2020-06-21,10.86
2020-06-22,10.47
2020-06-23,10.46
2020-06-24,13.11
2020-06-25,12.98
2020-06-26,15.35
2020-06-27,16.32
2020-06-28,10.37
2020-06-29,10.3
2020-06-30,11.56
2020-07-01,12.53
2020-07-02,12.19
2020-07-03,12.1
2020-07-04,14.35
2020-07-05,13.28
2020-07-06,12.81
2020-07-07,12.45
2020-07-08,13.38
2020-07-09,16.62
2020-07-10,10.35
2020-07-11,7.88
2020-07-12,8.1
2020-07-13,9.01
2020-07-14,12.68
2020-07-15,13.44
2020-07-16,14.88
2020-07-17,14.68
2020-07-18,12.76
2020-07-19,10.75
2020-07-20,10.45
2020-07-21,7.13
2020-07-22,7.48
2020-07-23,8.1
2020-07-24,13.23
2020-07-25,13.17
2020-07-26,12.95
2020-07-27,12.72
2020-07-28,12.23
2020-07-29,9.63
2020-07-30,10.01
2020-07-31,12.45
2020-08-01,14.11
2020-08-02,11.21
2020-08-03,10.46
2020-08-04,9.32
2020-08-05,10.22
2020-08-06,11.78
2020-08-07,14.0
2020-08-08,15.37
2020-08-09,18.68
2020-08-10,17.67
2020-08-11,18.89
2020-08-12,18.24
2020-08-13,19.24
2020-08-14,17.63
2020-08-15,17.13
2020-08-16,16.72
2020-08-17,14.84
2020-08-18,13.13
2020-08-19,13.8
2020-08-20,18.6
2020-08-21,15.48
2020-08-22,14.58
2020-08-23,13.97
2020-08-24,13.59
2020-08-25,12.52
2020-08-26,12.75
2020-08-27,10.48
2020-08-28,11.24
2020-08-29,10.88
2020-08-30,11.9
2020-08-31,10.64
2020-09-01,9.97
2020-09-02,8.09
2020-09-03,11.29
2020-09-04,15.12
2020-09-05,9.97
2020-09-06,7.23
2020-09-07,6.5
2020-09-08,12.13
2020-09-09,16.28
2020-09-10,11.05
2020-09-11,8.01
2020-09-12,7.76
2020-09-13,8.81
2020-09-14,9.65
2020-09-15,13.1
2020-09-16,13.19
2020-09-17,9.85
2020-09-18,7.81
2020-09-19,10.44
2020-09-20,8.93
2020-09-21,5.91
2020-09-22,8.78
2020-09-23,9.33
2020-09-24,10.49
2020-09-25,7.6
2020-09-26,9.18
2020-09-27,12.46
2020-09-28,12.34
2020-09-29,9.44
2020-09-30,12.81
2020-10-01,7.77
2020-10-02,7.82
2020-10-03,8.4
2020-10-04,9.69
2020-10-05,10.25
2020-10-06,11.48
2020-10-07,8.65
2020-10-08,11.45
2020-10-09,8.85
2020-10-10,4.89
2020-10-11,5.34
2020-10-12,6.87
2020-10-13,7.39
2020-10-14,5.02
2020-10-15,6.51
2020-10-16,4.69
2020-10-17,3.22
2020-10-18,7.22
2020-10-19,6.04
2020-10-20,6.35
2020-10-21,12.66
2020-10-22,9.57
2020-10-23,8.81
2020-10-24,12.22
2020-10-25,8.5
2020-10-26,8.47
2020-10-27,7.15
2020-10-28,9.25
2020-10-29,7.81
2020-10-30,13.26
2020-10-31,9.79
2020-11-01,10.63
2020-11-02,9.54
2020-11-03,4.74
2020-11-04,0.88
2020-11-05,-0.47
2020-11-06,-0.63
2020-11-07,1.27
2020-11-08,4.14
2020-11-09,5.77
2020-11-10,6.68
2020-11-11,7.35
2020-11-12,4.86
2020-11-13,4.14
2020-11-14,10.41
2020-11-15,9.3
2020-11-16,8.01
2020-11-17,10.97
2020-11-18,8.56
2020-11-19,4.32
2020-11-20,0.63
2020-11-21,4.6
2020-11-22,8.24
2020-11-23,4.49
2020-11-24,4.25
2020-11-25,3.99
2020-11-26,5.37
2020-11-27,6.85
2020-11-28,1.85
2020-11-29,1.39
2020-11-30,1.22
2020-12-01,7.01
2020-12-02,6.25
2020-12-03,5.9
2020-12-04,-0.15
2020-12-05,-0.11
2020-12-06,-1.7
2020-12-07,0.78
2020-12-08,-0.68
2020-12-09,0.45
2020-12-10,0.71
2020-12-11,1.66
2020-12-12,7.8
2020-12-13,4.4
2020-12-14,8.25
2020-12-15,4.28
2020-12-16,2.56
2020-12-17,5.21
2020-12-18,5.79
2020-12-19,6.59
2020-12-20,4.84
2020-12-21,3.56
2020-12-22,10.91
2020-12-23,9.62
2020-12-24,3.46
2020-12-25,-0.13
2020-12-26,0.99
2020-12-27,3.94
2020-12-28,-0.49
2020-12-29,-0.39
2020-12-30,-0.94
2020-12-31,3.42
